id,name,type,typecode,lng,lat,pname,cityname,adname,address,biz_status,city,group,pair_id,search_type,search_typecode
B0FFH2MSLV,影私拾光私人影院(吉祥广场店),体育休闲服务;影剧院;电影院|餐饮服务;咖啡厅;咖啡厅,080601|050500,117.971324,36.652849,山东省,淄博市,淄川区,淄城路与北苑街交叉口东南320米(吉祥广场红糖果南临),,淄博,treat,1,餐饮服务,050000
B0FFG45JKJ,清真双盛馆,餐饮服务;中餐厅;清真菜馆,050121,118.196175,36.805724,山东省,淄博市,临淄区,金岭金烯路84号,,淄博,treat,1,餐饮服务,050000
B02150RREG,圣得利蛋糕鲜花店(巴黎假日·步行街店),餐饮服务;糕饼店;糕饼店|购物服务;购物相关场所;购物相关场所,050800|060000,117.852685,36.798279,山东省,淄博市,周村区,东街320号,,淄博,treat,1,餐饮服务,050000
B0FFG70RHM,南定湘菜馆,餐饮服务;中餐厅;湖南菜(湘菜),050108,118.044766,36.743012,山东省,淄博市,张店区,南定镇张南路225号,,淄博,treat,1,餐饮服务,050000
B0FFGO77SK,唐停烧饼,餐饮服务;中餐厅;中餐厅,050100,118.163631,36.193387,山东省,淄博市,沂源县,历山路6-9号,,淄博,treat,1,餐饮服务,050000
B0FFJWFW0O,岁月烧烤,餐饮服务;中餐厅;中餐厅,050100,117.867159,36.816672,山东省,淄博市,周村区,正阳路4439-3,,淄博,treat,1,餐饮服务,050000
B0FFJRREKQ,桓台县跷脚烧烤店,餐饮服务;外国餐厅;外国餐厅,050200,118.067611,36.917519,山东省,淄博市,桓台县,果里大道336号商业街C区C1-012号商铺,,淄博,treat,1,餐饮服务,050000
B0FFFVP36R,小维度奶茶店,餐饮服务;冷饮店;冷饮店,050700,117.852519,36.800056,山东省,淄博市,周村区,"丝绸路街道丝绸路2号,步行街中段康城丽都一楼",,淄博,treat,1,餐饮服务,050000
B021504689,淄博饭店,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,100103|050000,118.060022,36.805832,山东省,淄博市,张店区,金晶大道177号,,淄博,treat,1,餐饮服务,050000
B0FFG37A35,兄弟酸菜鱼(翡翠园总店),餐饮服务;中餐厅;中餐厅,050100,117.875155,36.513158,山东省,淄博市,博山区,夏家庄街道珑山路63号西北(翡翠园南苑西50米),,淄博,treat,1,餐饮服务,050000
B0FFJZYIAD,杨老六巴香鱼,餐饮服务;餐饮相关场所;餐饮相关,050000,117.864137,36.498024,山东省,淄博市,博山区,北关街26号,,淄博,treat,1,餐饮服务,050000
B0FFJGLIBW,老博山私房菜,餐饮服务;中餐厅;中餐厅,050100,118.070058,36.799784,山东省,淄博市,张店区,东二路22号百盛商城商场东街,,淄博,treat,1,餐饮服务,050000
B0FFJC6TD5,面对面喜事汇,住宿服务;宾馆酒店;宾馆酒店|餐饮服务;中餐厅;中餐厅,100100|050100,117.977589,36.640925,山东省,淄博市,淄川区,般阳路135号,,淄博,treat,1,餐饮服务,050000
B0FFI825ZO,湖南正宗湘菜馆(淄河大道店),餐饮服务;中餐厅;中餐厅,050100,117.989507,36.743089,山东省,淄博市,淄川区,淄河大道与西外环路交叉口西南460米,,淄博,treat,1,餐饮服务,050000
B0FFI7OTH6,西寨煎饼-猪头肉(西寨小区店),餐饮服务;中餐厅;中餐厅,050100,117.855764,36.499442,山东省,淄博市,博山区,西寨南三丁字巷路口,,淄博,treat,1,餐饮服务,050000
B0FFI1P7JE,翟家全羊馆,餐饮服务;餐饮相关场所;餐饮相关,050000,118.156581,36.553094,山东省,淄博市,淄川区,太河镇桐古渡槽南100米,,淄博,treat,1,餐饮服务,050000
B0FFFZY50W,清正源饭店,餐饮服务;中餐厅;清真菜馆,050121,118.210065,36.799794,山东省,淄博市,临淄区,金岭镇金岭南街山东清源集团医院南东门超市旁,,淄博,treat,1,餐饮服务,050000
B0FFFXL5F3,一绝春饼楼,餐饮服务;中餐厅;中餐厅,050100,118.313274,36.808168,山东省,淄博市,临淄区,齐城路118号,,淄博,treat,1,餐饮服务,050000
B0FFFP5X1O,步步高鸽子府,餐饮服务;中餐厅;中餐厅,050100,118.314622,36.806359,山东省,淄博市,临淄区,牛山路352号甲2号,,淄博,treat,1,餐饮服务,050000
B021500179,泉龙大酒店,住宿服务;宾馆酒店;宾馆酒店|餐饮服务;中餐厅;中餐厅,100100|050100,117.977532,36.651991,山东省,淄博市,淄川区,淄城东路113号,,淄博,treat,1,餐饮服务,050000
B02150RRGW,露露韩国风味餐厅,餐饮服务;外国餐厅;韩国料理,050203,117.858807,36.80243,山东省,淄博市,周村区,东民路2号,,淄博,treat,1,餐饮服务,050000
B0FFJPPX78,博山区好久不见中餐馆(白虎山东路店),餐饮服务;餐饮相关场所;餐饮相关,050000,117.86258,36.508943,山东省,淄博市,博山区,城西街道白虎山东路9号铁路工区办公楼,,淄博,treat,1,餐饮服务,050000
B0FFJBNDGP,福记小馆(朝阳花苑凯旋城店),餐饮服务;中餐厅;中餐厅,050100,117.871797,36.811256,山东省,淄博市,周村区,朝阳花苑凯旋城南门东50米,,淄博,treat,1,餐饮服务,050000
B0FFHHPHZI,英豪东方明珠大酒店,餐饮服务;中餐厅;中餐厅,050100,118.076972,36.816286,山东省,淄博市,张店区,华光路与东三路交叉口东南10米,,淄博,treat,1,餐饮服务,050000
B02150RY7H,巩本明鱼屋子,餐饮服务;中餐厅;中餐厅,050100,118.083466,37.056576,山东省,淄博市,桓台县,起凤镇起马路3300号,,淄博,treat,1,餐饮服务,050000
B0FFGKX20O,齐悦国际大饭店,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,100103|050000,117.85344,36.795005,山东省,淄博市,周村区,站北路39号一四八医院斜对面,,淄博,treat,1,餐饮服务,050000
B0FFJO63TX,周村宾馆·老城味道(古商城店),餐饮服务;中餐厅;中餐厅,050100,117.84268,36.79997,山东省,淄博市,周村区,新建中路24号(周村宾馆院内),,淄博,treat,1,餐饮服务,050000
B0FFIZAOH3,钱记小院,餐饮服务;中餐厅;中餐厅,050100,117.854785,36.48077,山东省,淄博市,博山区,泉水路22附近,,淄博,treat,1,餐饮服务,050000
B0FFI6IDEQ,太公老刘带皮五花肉,餐饮服务;中餐厅;火锅店,050117,118.322573,36.824116,山东省,淄博市,临淄区,遄台路130号,,淄博,treat,1,餐饮服务,050000
B0FFG1B22G,老博山李铁食品(北西六路),购物服务;专卖店;土特产专卖店|餐饮服务;餐饮相关场所;餐饮相关,061214|050000,118.032092,36.816015,山东省,淄博市,张店区,北西六路51号甲六李铁食品,,淄博,treat,1,餐饮服务,050000
B02150R501,齐都宾馆,餐饮服务;中餐厅;中餐厅|住宿服务;宾馆酒店;宾馆酒店|住宿服务;旅馆招待所;旅馆招待所,050100|100100|100200,118.349605,36.852132,山东省,淄博市,临淄区,齐都路88号,,淄博,treat,1,餐饮服务,050000
B0FFFZK28Z,恒星快餐,公司企业;公司;公司|餐饮服务;中餐厅;中餐厅,170200|050100,117.845934,36.824955,山东省,淄博市,周村区,恒星路98号,,淄博,treat,1,餐饮服务,050000
B0FFJETO4N,小咚家自助水饺(羿景嘉园店),餐饮服务;中餐厅;中餐厅|科教文化服务;科教文化场所;科教文化场所,050100|140000,118.091661,36.950788,山东省,淄博市,桓台县,渔洋街2700号同仁堂2层,,淄博,treat,1,餐饮服务,050000
B0FFIXN9WV,造作家咖啡,餐饮服务;咖啡厅;咖啡厅|生活服务;生活服务场所;生活服务场所,050500|070000,118.019147,36.839346,山东省,淄博市,张店区,远景街路西边最南边第一家(院子木门进),,淄博,treat,1,餐饮服务,050000
B0FFI0ZUM7,又一村上善坊大酒店,餐饮服务;中餐厅;综合酒楼,050101,118.064123,36.81423,山东省,淄博市,张店区,中心路166号,,淄博,treat,1,餐饮服务,050000
B0FFH7Q9NJ,新天齐美食大广场,餐饮服务;中餐厅;中餐厅,050100,118.340308,36.804035,山东省,淄博市,临淄区,S102与S233交汇处东南,,淄博,treat,1,餐饮服务,050000
B0FFH43FJX,遄台老店骏阳凉皮,餐饮服务;中餐厅;中餐厅,050100,118.318082,36.817242,山东省,淄博市,临淄区,遄台北生活区31号楼,,淄博,treat,1,餐饮服务,050000
B0FFGNLCO6,金岭清真马勇烧烤,餐饮服务;中餐厅;特色/地方风味餐厅,050118,118.209597,36.799672,山东省,淄博市,临淄区,金岭镇金岭四村,,淄博,treat,1,餐饮服务,050000
B0FFFZY20W,沂源历山独一家羊汤,餐饮服务;中餐厅;中餐厅,050100,118.148153,36.205919,山东省,淄博市,沂源县,东鱼台村历山公园正门,,淄博,treat,1,餐饮服务,050000
B0FFFWA4YQ,杭州特色小笼包(金誉花园店),餐饮服务;餐饮相关场所;餐饮相关,050000,118.005544,36.804393,山东省,淄博市,张店区,张周路19-7号,,淄博,treat,1,餐饮服务,050000
B0FFF4YSMR,老车家大串烤肉(颐泽花园店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,117.971224,36.628883,山东省,淄博市,淄川区,淄成东路660号,,淄博,treat,1,餐饮服务,050000
B02150SCBL,六禾烧烤(尹家湾),餐饮服务;中餐厅;特色/地方风味餐厅,050118,117.844345,36.804193,山东省,淄博市,周村区,北门里生活区10号楼1单元,,淄博,treat,1,餐饮服务,050000
B02150RZEG,海梦圆酒楼,餐饮服务;中餐厅;综合酒楼,050101,117.845917,36.496655,山东省,淄博市,博山区,中心路115号(近万顺御花园),,淄博,treat,1,餐饮服务,050000
B02150RYYM,四季屋快餐(商业街店),餐饮服务;中餐厅;中餐厅,050100,117.963677,36.646516,山东省,淄博市,淄川区,城里大街20号甲,,淄博,treat,1,餐饮服务,050000
B02150QGIS,圣禾馄炖(大顺路店),餐饮服务;中餐厅;中餐厅,050100,118.297034,36.820673,山东省,淄博市,临淄区,大顺路83-1号圣禾馄饨,,淄博,treat,1,餐饮服务,050000
B021504MLA,重庆饭店(华光路店),餐饮服务;中餐厅;四川菜(川菜),050102,118.058445,36.819347,山东省,淄博市,张店区,华光路53号甲1号,,淄博,treat,1,餐饮服务,050000
B021504L1G,金肥牛火锅(周村店),餐饮服务;中餐厅;火锅店,050117,117.867133,36.804521,山东省,淄博市,周村区,正阳路3147号(区政府西门斜对面),,淄博,treat,1,餐饮服务,050000
B021504F28,近江南御翅府,餐饮服务;糕饼店;糕饼店|餐饮服务;中餐厅;中餐厅,050800|050100,118.281748,36.810004,山东省,淄博市,临淄区,牛山路17号,,淄博,treat,1,餐饮服务,050000
B021504AD3,江南濠景生态美食园,餐饮服务;中餐厅;中餐厅,050100,118.009609,36.805242,山东省,淄博市,张店区,新村西路264号,,淄博,treat,1,餐饮服务,050000
B0FFIAA38T,吉祥福第蚂蚱鸡,餐饮服务;中餐厅;中餐厅|住宿服务;宾馆酒店;宾馆酒店,050100|100100,118.016031,36.848831,山东省,淄博市,张店区,房镇镇大张村4号沿街公建1-3层,,淄博,treat,1,餐饮服务,050000
B0FFI76RDS,兴隆灌汤蒸包(东关店),餐饮服务;中餐厅;中餐厅,050100,117.97786,36.647169,山东省,淄博市,淄川区,松龄东路166号星辰供水对过,,淄博,treat,1,餐饮服务,050000
B0FFGO14NA,百顺源炖鸡(紫荆园店),餐饮服务;中餐厅;中餐厅,050100,118.05226,36.830499,山东省,淄博市,张店区,樱红路9号,,淄博,treat,1,餐饮服务,050000
B0FFGNIK6K,小乔豆腐(富瑞特城市广场店),餐饮服务;快餐厅;快餐厅,050300,117.851204,36.807558,山东省,淄博市,周村区,福瑞特F座二楼电梯口,,淄博,treat,1,餐饮服务,050000
B0FFGMD3SE,鸿运蛤蜊鸡(周村总店),餐饮服务;中餐厅;中餐厅,050100,117.852972,36.810731,山东省,淄博市,周村区,机场路768号,,淄博,treat,1,餐饮服务,050000
B0FFGLFDNI,长龙灌汤包,餐饮服务;中餐厅;中餐厅,050100,117.852565,36.808305,山东省,淄博市,周村区,东门路青年路31号,,淄博,treat,1,餐饮服务,050000
B0FFFW8QUV,博味居正宗博山菜,餐饮服务;中餐厅;山东菜(鲁菜),050104,118.01584,36.809918,山东省,淄博市,张店区,共青团西路250号,,淄博,treat,1,餐饮服务,050000
B0FFFSPNP3,老字号段家煮锅(青年路店),餐饮服务;中餐厅;中餐厅,050100,117.846961,36.80669,山东省,淄博市,周村区,青年路18号(环卫局大门西边),,淄博,treat,1,餐饮服务,050000
B0FFFSL8HV,大眼妹上海生煎(理工大学店),餐饮服务;中餐厅;中餐厅,050100,118.02043,36.812692,山东省,淄博市,张店区,马尚镇瑞安路45号,,淄博,treat,1,餐饮服务,050000
B0FFFOVBLQ,金三角水饺店(大顺路),餐饮服务;中餐厅;特色/地方风味餐厅,050118,118.297367,36.822108,山东省,淄博市,临淄区,雪宫街道齐园路85号金三角水产公司,,淄博,treat,1,餐饮服务,050000
B02150QXQ3,延边高丽村养生汤馆(名仕嘉园店),餐饮服务;中餐厅;中餐厅,050100,118.297755,36.819583,山东省,淄博市,临淄区,齐园路46-8号(东泰广场东门对面),,淄博,treat,1,餐饮服务,050000
B02150037F,新印马酒店,餐饮服务;中餐厅;综合酒楼,050101,118.315894,36.820577,山东省,淄博市,临淄区,稷下路163号(卫生防疫站北),,淄博,treat,1,餐饮服务,050000
B021503Y48,顺河羊肉馆,餐饮服务;中餐厅;中餐厅,050100,118.226861,36.20498,山东省,淄博市,沂源县,南悦路与人民路交叉口东140米,,淄博,treat,1,餐饮服务,050000
B0FFJCV0UD,一点利烧烤(泰美路店),餐饮服务;快餐厅;快餐厅,050300,118.053632,36.851125,山东省,淄博市,张店区,泰美路与铭波路交叉口北400米路东,,淄博,treat,1,餐饮服务,050000
B0FFJ18M5D,老潍县朝天锅(华光路店),餐饮服务;中餐厅;山东菜(鲁菜),050104,118.075226,36.817059,山东省,淄博市,张店区,华光路10甲1-4号,,淄博,treat,1,餐饮服务,050000
B0FFIPJ9J5,公社炒鸡老菜馆(八大局店),餐饮服务;中餐厅;中餐厅,050100,118.075206,36.808527,山东省,淄博市,张店区,人民东路与东三路交叉口向东200米路南,,淄博,treat,1,餐饮服务,050000
B0FFIPIRI9,铁锅砖家正宗东北铁锅炖(名士豪庭店),餐饮服务;中餐厅;中餐厅,050100,118.053772,36.85251,山东省,淄博市,张店区,泰美路北路名士豪庭西门沿街商铺28号甲4号,,淄博,treat,1,餐饮服务,050000
B0FFI877VN,悦味坊酒店,餐饮服务;中餐厅;中餐厅,050100,118.0079,36.832232,山东省,淄博市,张店区,龙凤苑龙凤西巷物业广场西侧18号,,淄博,treat,1,餐饮服务,050000
B0FFHUNK1F,肯德基(淄川店),餐饮服务;快餐厅;肯德基,050301,117.959609,36.647187,山东省,淄博市,淄川区,淄城路586号新星商厦1层,,淄博,treat,1,餐饮服务,050000
B0FFHR4TMY,老潍县菜馆(颐和花园店),餐饮服务;中餐厅;中餐厅,050100,118.066566,36.832176,山东省,淄博市,张店区,魏北路9号,,淄博,treat,1,餐饮服务,050000
B0FFH9D582,佳美果蔬商行(鑫城公寓东区店),购物服务;综合市场;果品市场|餐饮服务;餐饮相关场所;餐饮相关,060704|050000,118.018,36.801909,山东省,淄博市,张店区,张店区政府对面鑫城中心公寓C一单元,,淄博,treat,1,餐饮服务,050000
