city,group,pair_id,n_pois,area_km2,density_per_km2,spatial_std,avg_dist_to_center_km,dining_ratio,centroid_lng,centroid_lat
淄博,treat,1,1525,8119.45,0.19,0.229439,20.0,0.1475,118.0371,36.7514
哈尔滨,treat,2,1525,63131.65,0.02,0.436251,23.31,0.1311,126.7181,45.7294
开封,treat,3,1475,9059.84,0.16,0.259799,23.91,0.1356,114.4263,34.727
天水,treat,4,1475,19840.6,0.07,0.361212,31.97,0.1356,105.7241,34.6436
景德镇,treat,5,1500,8255.68,0.18,0.172924,14.25,0.1333,117.2187,29.2422
济宁,control,1,1525,23629.55,0.06,0.358683,32.64,0.1475,116.7002,35.4314
长春,control,2,1575,34128.87,0.05,0.246263,14.19,0.1429,125.347,43.8908
安阳,control,3,1525,13822.44,0.11,0.356292,32.05,0.1311,114.3292,35.9881
宝鸡,control,4,1500,20557.85,0.07,0.327042,29.08,0.1333,107.3414,34.3661
潮州,control,5,1550,5905.66,0.26,0.178217,15.2,0.1452,116.6919,23.651
