city,year,month,MeanDN,Ln_Light,date
淄博,2022,3,5.4144,1.8585,2022-03-01
淄博,2022,4,5.2884,1.8387,2022-04-01
淄博,2022,5,4.7194,1.7439,2022-05-01
淄博,2022,6,4.9713,1.787,2022-06-01
淄博,2022,7,4.2765,1.6633,2022-07-01
淄博,2022,8,4.4587,1.6972,2022-08-01
淄博,2022,9,4.6991,1.7403,2022-09-01
淄博,2022,10,4.5698,1.7174,2022-10-01
淄博,2022,11,5.1485,1.8162,2022-11-01
淄博,2022,12,5.2219,1.8281,2022-12-01
淄博,2023,1,5.8604,1.9258,2023-01-01
淄博,2023,2,5.2551,1.8334,2023-02-01
淄博,2023,8,4.5041,1.7055,2023-08-01
淄博,2023,9,4.5667,1.7168,2023-09-01
淄博,2023,10,4.9875,1.7897,2023-10-01
淄博,2023,11,5.0709,1.8035,2023-11-01
淄博,2023,12,6.469,2.0108,2023-12-01
淄博,2024,1,5.3274,1.8449,2024-01-01
淄博,2023,8,4.5041,1.7055,2023-08-01
淄博,2023,9,4.5667,1.7168,2023-09-01
淄博,2023,10,4.9875,1.7897,2023-10-01
淄博,2023,11,5.0709,1.8035,2023-11-01
淄博,2023,12,6.469,2.0108,2023-12-01
淄博,2024,1,5.3274,1.8449,2024-01-01
济宁,2022,3,7.1863,2.1025,2022-03-01
济宁,2022,4,6.4462,2.0077,2022-04-01
济宁,2022,5,6.5914,2.027,2022-05-01
济宁,2022,6,6.5611,2.023,2022-06-01
济宁,2022,7,4.9054,1.7759,2022-07-01
济宁,2022,8,4.7858,1.7554,2022-08-01
济宁,2022,9,5.661,1.8963,2022-09-01
济宁,2022,10,5.5459,1.8788,2022-10-01
济宁,2022,11,5.4509,1.8642,2022-11-01
济宁,2022,12,6.0114,1.9475,2022-12-01
济宁,2023,1,7.4612,2.1355,2023-01-01
济宁,2023,2,6.3615,1.9963,2023-02-01
济宁,2023,8,5.2211,1.8279,2023-08-01
济宁,2023,9,5.4111,1.858,2023-09-01
济宁,2023,10,5.7811,1.9141,2023-10-01
济宁,2023,11,5.6862,1.9,2023-11-01
济宁,2023,12,5.9315,1.9361,2023-12-01
济宁,2024,1,5.6562,1.8955,2024-01-01
哈尔滨,2022,10,8.1193,2.2104,2022-10-01
哈尔滨,2022,11,11.9554,2.5615,2022-11-01
哈尔滨,2022,12,17.9319,2.9408,2022-12-01
哈尔滨,2023,1,14.664,2.7514,2023-01-01
哈尔滨,2023,2,11.2861,2.5085,2023-02-01
哈尔滨,2023,3,9.3482,2.3368,2023-03-01
哈尔滨,2023,4,4.6044,1.7236,2023-04-01
哈尔滨,2023,8,1.0172,0.7017,2023-08-01
哈尔滨,2023,9,8.2573,2.2254,2023-09-01
哈尔滨,2024,3,9.9032,2.3891,2024-03-01
哈尔滨,2024,4,9.4707,2.3486,2024-04-01
哈尔滨,2024,8,8.6681,2.2688,2024-08-01
哈尔滨,2024,9,9.4446,2.3461,2024-09-01
长春,2022,10,14.2127,2.7221,2022-10-01
长春,2022,11,16.6634,2.8715,2022-11-01
长春,2022,12,27.6429,3.3549,2022-12-01
长春,2023,1,17.5974,2.923,2023-01-01
长春,2023,2,15.0798,2.7776,2023-02-01
长春,2023,3,14.9124,2.7671,2023-03-01
长春,2023,4,13.8408,2.6974,2023-04-01
长春,2023,8,13.0139,2.6401,2023-08-01
长春,2023,9,12.7655,2.6222,2023-09-01
长春,2024,3,14.7901,2.7594,2024-03-01
长春,2024,4,15.5358,2.8055,2024-04-01
长春,2024,8,13.0114,2.6399,2024-08-01
长春,2024,9,13.8295,2.6966,2024-09-01
开封,2023,1,3.6049,1.5271,2023-01-01
开封,2023,2,3.2688,1.4513,2023-02-01
开封,2023,3,3.3511,1.4704,2023-03-01
开封,2023,4,3.0598,1.4011,2023-04-01
开封,2023,5,3.1948,1.4338,2023-05-01
开封,2023,6,3.0576,1.4006,2023-06-01
开封,2023,7,2.9745,1.3799,2023-07-01
开封,2023,8,2.9204,1.3662,2023-08-01
开封,2023,9,2.7774,1.329,2023-09-01
开封,2023,10,3.2699,1.4516,2023-10-01
开封,2023,11,3.2497,1.4469,2023-11-01
开封,2023,12,4.3068,1.669,2023-12-01
开封,2024,5,2.9553,1.3751,2024-05-01
开封,2024,6,1.8458,1.0458,2024-06-01
开封,2024,7,0.7362,0.5517,2024-07-01
开封,2024,8,2.9969,1.3855,2024-08-01
安阳,2023,1,7.9145,2.1877,2023-01-01
安阳,2023,2,7.9215,2.1885,2023-02-01
安阳,2023,3,7.1541,2.0985,2023-03-01
安阳,2023,4,6.1558,1.9679,2023-04-01
安阳,2023,5,6.7381,2.0462,2023-05-01
安阳,2023,6,7.0586,2.0867,2023-06-01
安阳,2023,7,7.3791,2.1257,2023-07-01
安阳,2023,8,6.2064,1.975,2023-08-01
安阳,2023,9,5.8282,1.9211,2023-09-01
安阳,2023,10,6.7527,2.048,2023-10-01
安阳,2023,11,6.4395,2.0068,2023-11-01
安阳,2023,12,9.9578,2.3941,2023-12-01
安阳,2024,5,6.3077,1.9889,2024-05-01
安阳,2024,6,5.1989,1.8244,2024-06-01
安阳,2024,7,4.0902,1.6273,2024-07-01
安阳,2024,8,5.4682,1.8669,2024-08-01
天水,2023,2,1.5235,0.9256,2023-02-01
天水,2023,3,1.8449,1.0455,2023-03-01
天水,2023,4,1.8878,1.0605,2023-04-01
天水,2023,5,1.8432,1.0449,2023-05-01
天水,2023,6,1.8632,1.0519,2023-06-01
天水,2023,7,1.8832,1.0589,2023-07-01
天水,2023,8,1.8766,1.0566,2023-08-01
天水,2023,9,1.686,0.988,2023-09-01
天水,2023,10,1.873,1.0554,2023-10-01
天水,2023,11,1.8819,1.0584,2023-11-01
天水,2023,12,1.689,0.9892,2023-12-01
天水,2024,5,1.9977,1.0979,2024-05-01
天水,2024,6,1.9929,1.0963,2024-06-01
天水,2024,7,1.9881,1.0947,2024-07-01
天水,2024,8,2.0517,1.1157,2024-08-01
天水,2024,9,1.8088,1.0327,2024-09-01
天水,2024,10,1.8818,1.0584,2024-10-01
天水,2024,11,2.0694,1.1215,2024-11-01
宝鸡,2023,2,3.5274,1.5101,2023-02-01
宝鸡,2023,3,2.9258,1.3676,2023-03-01
宝鸡,2023,4,3.7291,1.5537,2023-04-01
宝鸡,2023,5,3.7191,1.5516,2023-05-01
宝鸡,2023,6,3.6673,1.5406,2023-06-01
宝鸡,2023,7,3.6155,1.5294,2023-07-01
宝鸡,2023,8,3.1577,1.425,2023-08-01
宝鸡,2023,9,3.4872,1.5012,2023-09-01
宝鸡,2023,10,4.0434,1.6181,2023-10-01
宝鸡,2023,11,4.004,1.6102,2023-11-01
宝鸡,2023,12,3.2438,1.4455,2023-12-01
宝鸡,2024,5,4.0046,1.6104,2024-05-01
宝鸡,2024,6,3.8688,1.5828,2024-06-01
宝鸡,2024,7,3.7329,1.5545,2024-07-01
宝鸡,2024,8,3.6739,1.542,2024-08-01
宝鸡,2024,9,3.1211,1.4161,2024-09-01
宝鸡,2024,10,3.6286,1.5322,2024-10-01
宝鸡,2024,11,4.0863,1.6265,2024-11-01
