城市,半年期,省内来源占比(%),省外来源占比(%)
哈尔滨,2024H1,62.49,37.51
哈尔滨,2024H2,62.41,37.59
哈尔滨,2025H1,63.01,36.99
哈尔滨,2025H2,63.1,36.9
天水,2024H1,62.98,37.02
天水,2024H2,62.71,37.29
天水,2025H1,64.53,35.47
天水,2025H2,63.3,36.7
安阳,2024H1,63.33,36.67
安阳,2024H2,63.52,36.48
安阳,2025H1,64.39,35.61
安阳,2025H2,62.26,37.74
宝鸡,2024H1,74.27,25.73
宝鸡,2024H2,77.07,22.93
宝鸡,2025H1,77.24,22.76
宝鸡,2025H2,76.22,23.78
开封,2024H1,78.08,21.92
开封,2024H2,80.17,19.83
开封,2025H1,78.9,21.1
开封,2025H2,76.9,23.1
景德镇,2024H1,63.02,36.98
景德镇,2024H2,60.72,39.28
景德镇,2025H1,62.21,37.79
景德镇,2025H2,59.17,40.83
济宁,2024H1,72.98,27.02
济宁,2024H2,74.16,25.84
济宁,2025H1,73.61,26.39
济宁,2025H2,73.11,26.89
淄博,2024H1,86.25,13.75
淄博,2024H2,86.87,13.13
淄博,2025H1,87.42,12.58
淄博,2025H2,86.53,13.47
潮州,2024H1,80.49,19.51
潮州,2024H2,81.95,18.05
潮州,2025H1,79.92,20.08
潮州,2025H2,80.67,19.33
长春,2024H1,63.86,36.14
长春,2024H2,63.14,36.86
长春,2025H1,64.69,35.31
长春,2025H2,61.86,38.14
