日期,城市,省内来源占比(%),省外来源占比(%),TOP来源数,省内绝对值,省外绝对值,总计
20240101,淄博,91.86,8.14,100,90.22,8.0,98.22
20240115,淄博,87.21,12.79,100,85.1,12.48,97.58
20240201,淄博,82.61,17.39,100,79.57,16.75,96.32
20240215,淄博,83.89,16.11,100,81.57,15.67,97.24
20240301,淄博,86.62,13.38,100,83.61,12.91,96.52
20240315,淄博,87.54,12.46,100,85.22,12.13,97.35
20240401,淄博,86.03,13.97,100,83.84,13.62,97.46
20240415,淄博,85.11,14.89,100,82.83,14.49,97.32
20240501,淄博,82.51,17.49,100,81.13,17.2,98.33
20240515,淄博,85.95,14.05,100,83.61,13.67,97.28
20240601,淄博,88.18,11.82,100,86.29,11.57,97.86
20240615,淄博,87.49,12.51,100,85.46,12.22,97.68
20240701,淄博,85.36,14.64,100,83.1,14.25,97.35
20240715,淄博,85.37,14.63,100,83.18,14.25,97.43
20240801,淄博,82.7,17.3,100,80.14,16.77,96.91
20240815,淄博,83.98,16.02,100,81.76,15.6,97.36
20240901,淄博,88.15,11.85,100,85.86,11.54,97.4
20240915,淄博,89.5,10.5,100,88.02,10.33,98.35
20241001,淄博,83.98,16.02,100,82.32,15.7,98.02
20241015,淄博,86.86,13.14,100,84.55,12.79,97.34
20241101,淄博,88.93,11.07,100,86.82,10.81,97.63
20241115,淄博,88.42,11.58,100,86.35,11.31,97.66
20241201,淄博,89.72,10.28,100,87.71,10.05,97.76
20241215,淄博,89.49,10.51,100,87.57,10.28,97.85
20250101,淄博,90.08,9.92,100,88.06,9.7,97.76
20250115,淄博,85.47,14.53,100,83.11,14.13,97.24
20250201,淄博,88.08,11.92,100,86.46,11.7,98.16
20250215,淄博,87.52,12.48,100,84.78,12.09,96.87
20250301,淄博,89.01,10.99,100,87.01,10.74,97.75
20250315,淄博,88.71,11.29,100,87.04,11.08,98.12
20250401,淄博,85.88,14.12,100,83.4,13.71,97.11
20250415,淄博,86.82,13.18,100,84.57,12.84,97.41
20250501,淄博,81.76,18.24,100,80.51,17.96,98.47
20250515,淄博,84.83,15.17,100,82.49,14.75,97.24
20250601,淄博,91.82,8.18,100,90.48,8.06,98.54
20250615,淄博,89.08,10.92,100,87.33,10.7,98.03
20250701,淄博,84.9,15.1,100,82.68,14.7,97.38
20250715,淄博,84.48,15.52,100,82.03,15.07,97.1
20250801,淄博,83.36,16.64,100,81.12,16.19,97.31
20250815,淄博,84.09,15.91,100,82.16,15.55,97.71
20250901,淄博,87.55,12.45,100,85.4,12.14,97.54
20250915,淄博,88.03,11.97,100,85.98,11.69,97.67
20251001,淄博,82.53,17.47,100,80.87,17.12,97.99
20251015,淄博,86.32,13.68,100,84.08,13.32,97.4
20251101,淄博,90.1,9.9,100,88.56,9.73,98.29
20251115,淄博,90.43,9.57,100,88.81,9.4,98.21
20251201,淄博,88.36,11.64,100,86.41,11.38,97.79
20251215,淄博,88.16,11.84,100,86.19,11.57,97.76
20240101,哈尔滨,62.69,37.31,100,60.21,35.83,96.04
20240115,哈尔滨,56.14,43.86,100,53.52,41.82,95.34
20240201,哈尔滨,46.17,53.83,100,43.78,51.05,94.83
20240215,哈尔滨,73.35,26.65,100,71.38,25.93,97.31
20240301,哈尔滨,65.96,34.04,100,60.89,31.42,92.31
20240315,哈尔滨,65.76,34.24,100,63.5,33.06,96.56
20240401,哈尔滨,63.43,36.57,100,61.25,35.31,96.56
20240415,哈尔滨,63.94,36.06,100,61.71,34.8,96.51
20240501,哈尔滨,63.92,36.08,100,62.83,35.46,98.29
20240515,哈尔滨,61.72,38.28,100,59.37,36.82,96.19
20240601,哈尔滨,63.69,36.31,100,61.77,35.21,96.98
20240615,哈尔滨,63.13,36.87,100,60.95,35.59,96.54
20240701,哈尔滨,62.77,37.23,100,60.77,36.04,96.81
20240715,哈尔滨,61.34,38.66,100,59.35,37.4,96.75
