日期,淄博,济宁,哈尔滨,长春,开封,安阳,天水,宝鸡,景德镇,潮州
2019-01-12,1.1667564,1.5259104,2.3017284,1.93347,1.3101588,1.174986,0.5202468,0.7579656,0.3378996,0.545616
2019-01-13,1.0043676,1.3730796,2.0952756,1.8567792,1.2065112,1.030968,0.484866,0.6109992,0.3078324,0.4984092
2019-01-14,1.0138932,1.4191848,2.3996412,2.1031488,1.1008872,1.0307412,0.5087448,0.6090876,0.3039768,0.4397004
2019-01-15,0.974916,1.3452804,2.2173912,1.8305676,1.0381284,0.965034,0.4667868,0.5643108,0.2930904,0.437724
2019-01-16,0.967464,1.3624524,2.3197752,1.8137844,1.0953144,1.0109772,0.4993164,0.6234408,0.311202,0.436104
2019-01-17,0.9834372,1.4188284,2.2412052,1.8439164,1.0880244,1.059156,0.5586084,0.645732,0.3308364,0.4459212
2019-01-18,1.0449324,1.4501916,2.2794696,1.869642,1.1216556,1.0683252,0.6017652,0.6448896,0.3606768,0.4888188
2019-01-19,1.1490012,1.5781392,2.3220108,1.8167652,1.323702,1.1359764,0.5811588,0.7812612,0.3922992,0.576882
2019-01-20,1.0391976,1.4276412,2.19024,1.85733,1.2647664,1.0673856,0.5144472,0.6657876,0.3854628,0.5530356
2019-01-21,0.990144,1.5429852,2.3921568,2.065824,1.2467196,1.114236,0.5408208,0.6765768,0.4373352,0.5151924
2019-01-22,0.9567072,1.5379632,2.3879772,1.945134,1.2617208,1.1619936,0.5630148,0.6932628,0.4774464,0.5106564
2019-01-23,1.0389708,1.7074476,2.4323976,2.0396772,1.398222,1.2184344,0.6098328,0.7383312,0.5564376,0.5669676
2019-01-24,1.0577952,1.7615556,2.5055568,2.0691936,1.516644,1.2792492,0.6481944,0.7230708,0.615114,0.555012
2019-01-25,1.1024748,1.859922,2.6160732,2.13921,1.6192224,1.3703256,0.6785532,0.8071164,0.6743088,0.5623668
2019-01-26,1.1841228,2.067606,2.7282744,2.1274812,1.9547568,1.6084656,0.74196,0.9986004,0.7347996,0.6968592
2019-01-27,1.1306628,2.1406032,2.5845156,2.1295224,2.078136,1.6592688,0.7371324,0.9267696,0.769662,0.7287408
2019-01-28,1.138536,2.2828392,2.6282556,2.0951784,2.0278836,1.6718724,0.8543232,0.9788688,0.8581464,0.7367436
2019-01-29,1.1106072,2.311578,2.6863812,2.1070368,2.0208204,1.7060544,0.820692,0.982854,0.8088984,0.720738
2019-01-30,1.0876356,2.4248484,2.579364,2.0097072,2.1810384,1.7113032,0.8378964,1.0224792,0.7576416,0.7476948
2019-01-31,1.067418,2.3760216,2.6089128,2.0347524,2.0653056,1.7125992,0.8443764,1.074546,0.7085232,0.8483616
2019-02-01,1.1999016,2.742012,2.6345736,2.0538036,2.3418396,2.0093508,0.9830484,1.3377636,0.7027236,0.9519768
