日期,淄博,济宁,哈尔滨,长春,开封,安阳,天水,宝鸡,景德镇,潮州
2019-01-12,1.0796976,1.4393052,2.1337344,2.3433948,0.9660708,0.9546336,0.4615056,0.5620104,0.31995,0.4543776
2019-01-13,0.9833076,1.2029148,1.9055088,2.019816,0.97362,0.9623772,0.437724,0.5308416,0.3054996,0.4443012
2019-01-14,1.1116116,1.3417164,2.0903508,1.97073,1.16721,1.0307088,0.4272264,0.58158,0.3025512,0.4813344
2019-01-15,1.0561428,1.3435308,1.9176264,1.7910072,1.001484,0.9196092,0.3815748,0.510948,0.268758,0.4449816
2019-01-16,1.0935648,1.332774,1.9883556,1.8508824,1.0653768,0.9228816,0.3725028,0.5673888,0.2772468,0.4831812
2019-01-17,1.1060388,1.3453452,1.9577052,1.7928864,1.1575548,0.9738792,0.3859488,0.605394,0.2744604,0.524718
2019-01-18,1.0927224,1.4707008,1.972026,1.9633104,1.162998,0.9797436,0.371628,0.5946696,0.2558952,0.55728
2019-01-19,1.0889964,1.4893956,2.0221812,2.1762108,1.137564,0.981882,0.3672864,0.579798,0.2916648,0.5805108
2019-01-20,1.0158048,1.2976524,1.895076,1.8947196,0.99792,0.939762,0.385236,0.5560812,0.2625048,0.5855976
2019-01-21,1.0924308,1.3748616,2.0239308,1.8846756,1.196694,1.023354,0.3962196,0.5959008,0.2801304,0.70551
2019-01-22,1.058184,1.399194,1.9851804,1.8660456,1.1410632,0.9866772,0.4022784,0.5534568,0.2957472,0.7327908
2019-01-23,1.1152728,1.5180696,2.0561364,1.9298736,1.1107044,1.0360224,0.3969324,0.5795712,0.3240972,0.7467876
2019-01-24,1.2155832,1.5311592,2.0699388,1.9599732,1.1395404,1.0966428,0.4024728,0.6399324,0.3611628,0.798336
2019-01-25,1.2244608,1.5484608,2.17161,2.110212,1.1637756,1.063206,0.4044816,0.6608304,0.4134564,0.813888
2019-01-26,1.2869604,1.5410412,2.3120964,2.3675976,1.2343428,1.0965456,0.4232736,0.7197012,0.4954932,0.8945316
2019-01-27,1.3155048,1.5063408,2.2937256,2.155248,1.2190176,1.0382904,0.3884436,0.688986,0.4985712,0.8469684
2019-01-28,1.2633084,1.5274008,2.3610528,2.0681892,1.2677148,1.0847196,0.444852,0.7147764,0.5719248,0.8038764
2019-01-29,1.2575088,1.553418,2.3175396,2.0864304,1.242378,1.10565,0.4231116,0.6640056,0.5915268,0.721386
2019-01-30,1.1938104,1.4805504,2.3858712,2.0834496,1.1452428,1.0590264,0.448578,0.6607656,0.593406,0.700164
2019-01-31,1.1468952,1.409076,2.5243812,2.2802472,1.0916208,1.0167768,0.4217832,0.649458,0.6017004,0.6550956
2019-02-01,1.1989296,1.5149916,2.8382724,2.773116,1.2041136,1.0260432,0.434322,0.6527952,0.5805432,0.6057828
2019-02-02,1.2871224,1.5484608,3.10149,3.3300396,1.169802,0.9737172,0.4194504,0.6792336,0.5728968,0.5086476
2019-02-03,1.3727232,1.5022584,3.3066792,3.8373912,1.0864044,0.89424,0.4021164,0.663714,0.51192,0.4465692
2019-02-04,1.3454748,1.2286728,2.6762724,3.0476736,1.007964,0.8308656,0.3211164,0.655452,0.4264164,0.3808944
2019-02-05,1.0912644,0.95742,1.6920576,1.9661292,1.0236456,1.2076452,0.2754,0.7779888,0.4440096,0.5057964
2019-02-06,1.9621116,2.4292548,2.6193456,3.23676,1.9128312,1.7316504,0.4471524,1.0498572,0.777762,1.0608408
2019-02-07,1.9551456,2.7919404,2.914704,3.1073544,1.8574596,2.0735352,0.55161,1.3840956,0.7197012,1.2254004
2019-02-08,1.7080308,2.6786376,2.7791424,2.6973648,2.3677596,2.3930964,0.9790308,1.5765516,0.7430616,1.1888208
2019-02-09,1.7200512,2.9603556,2.8616328,2.5258068,2.6596512,2.6638308,1.0974528,1.811484,0.7270884,1.2983652
2019-02-10,1.8051012,3.4440876,3.2513724,2.724354,3.1370004,2.1818484,1.0686492,2.041038,0.8640756,1.4603004
2019-02-11,1.5646284,3.5945532,3.0736908,2.4200532,3.0479652,2.7207576,1.2845628,2.0532204,0.8340084,1.3701312
2019-02-12,1.4013972,3.0566808,2.6499312,2.1439404,2.6108568,2.4608772,1.1248308,1.6208424,0.7671672,1.1492928
2019-02-13,1.294218,2.7800172,2.7085752,2.104218,2.4348276,2.0605428,1.058832,1.4279976,0.741798,1.014282
2019-02-14,0.9775728,2.2460328,2.6345736,2.0417508,1.4550192,1.1070108,0.991926,1.1999988,0.7318836,0.9101484
2019-02-15,0.987714,1.9149696,2.5062696,1.9176264,1.4890716,1.1422944,0.969732,1.1214612,0.66339,0.7961328
2019-02-16,1.2884832,2.090448,2.4187572,1.9774692,1.9771452,1.8102204,0.9036036,1.13724,0.6366276,0.724302
2019-02-17,1.2247524,2.0322576,2.2911012,1.8706464,1.9730952,1.7927568,0.720576,1.0250712,0.604098,0.6361416
2019-02-18,1.2184344,1.8752796,2.4171696,2.0184228,1.7068968,1.4613696,0.6202656,0.8478432,0.5482728,0.5466852
2019-02-19,1.0406232,1.3892796,2.3995116,2.0074068,1.1818872,1.1130372,0.636498,0.667926,0.4603392,0.4262868
2019-02-20,1.18503,1.9112436,2.0420424,1.7132148,1.5165792,1.2907512,0.8141472,0.892944,0.5717952,0.6158268
2019-02-21,1.2059928,2.1286476,2.1514572,1.7746128,1.8094104,1.6494516,0.8922312,0.9239832,0.7062552,0.7143552
2019-02-22,1.1594664,2.0020284,2.0996496,1.807596,1.7467812,1.8664992,0.8404236,0.862974,0.6362388,0.6254172
2019-02-23,1.3626144,2.1755952,2.1735216,2.0080224,1.9916604,2.2073796,0.838512,1.050894,0.70875,0.6458616
2019-02-24,1.5583752,2.46564,2.2920408,2.1212604,2.2595436,2.411694,0.909792,1.0650204,0.677484,0.6658848
2019-02-25,1.0961244,1.647378,1.9189872,1.6503912,1.5438924,1.5252948,0.6385068,0.7484724,0.4709664,0.5868288
2019-02-26,0.9787716,1.53171,1.8401256,1.5899328,1.2884508,1.4244984,0.5346324,0.616896,0.4187376,0.4871988
2019-02-27,1.1478348,1.7320392,2.0824452,1.8273276,1.4088816,1.5150564,0.6276852,0.7030476,0.3955392,0.4941648
2019-02-28,1.305234,1.9317852,2.5130088,2.2593816,1.441638,1.65564,0.709884,0.8013168,0.446472,0.5693652
2019-03-01,1.1627064,1.687716,1.979316,1.9369368,1.2561156,1.3480668,0.581418,0.6885648,0.350568,0.4693464
2019-03-02,1.3516956,1.8238284,1.98369,2.065014,1.3275252,1.3976064,0.5712768,0.7626636,0.3357936,0.5288652
2019-03-03,1.22472,1.7068968,1.7777232,1.7595468,1.3888908,1.3129452,0.5440932,0.7282548,0.3723084,0.4993812
2019-03-04,1.2117276,1.6486416,1.8441756,1.7743212,1.4173704,1.3286592,0.5303556,0.7200252,0.3665412,0.5071572
2019-03-05,1.0865016,1.502712,1.7162604,1.6088868,1.1664324,1.2675528,0.4840236,0.5989788,0.3134052,0.402246
2019-03-06,1.0625904,1.468854,1.6401528,1.579176,1.1238264,1.2320424,0.4718736,0.571536,0.3054996,0.3658608
2019-03-07,1.037934,1.406322,1.6208424,1.6385328,1.0639836,1.1413224,0.4313736,0.5488884,0.2887488,0.358992
2019-03-08,1.1812716,1.5408792,1.7867952,1.880172,1.2508668,1.2440628,0.4449492,0.647028,0.324,0.4090824
2019-03-09,1.3128156,1.7319096,1.7685864,1.9806768,1.4908212,1.3881132,0.4648104,0.73062,0.3460644,0.4325724
2023-01-04,1.0777536,1.424466,1.60866,1.7477856,1.1940696,1.1497464,0.3716928,0.5667408,0.332748,0.6567804
2023-01-05,1.0520604,1.4470164,1.6090164,1.753326,1.1600172,1.1068488,0.398358,0.547398,0.3438936,0.647028
2023-01-06,1.1223684,1.4712516,1.6588476,1.9057032,1.1740464,1.1503944,0.4013712,0.5982984,0.386046,0.7212564
2023-01-07,1.2366756,1.7024256,1.756566,2.095146,1.351566,1.2324312,0.4306932,0.6573636,0.4575528,0.8484588
2023-01-08,1.2075804,1.7378388,1.7456796,1.9080036,1.38429,1.247562,0.4503924,0.7159428,0.4542804,0.8256816
2023-01-09,1.2726072,1.7324604,1.8545436,2.0202048,1.508382,1.3027392,0.4707072,0.7281252,0.47871,0.8229276
2023-01-10,1.2492144,1.736478,1.9450692,2.0652084,1.3424616,1.2586752,0.4895316,0.6837696,0.496044,0.7990812
2023-01-11,1.325322,1.8317016,2.008314,2.1034728,1.455084,1.3207212,0.5118228,0.7040844,0.5498928,0.8597664
2023-01-12,1.276074,1.6873596,2.027592,2.0931372,1.379106,1.244322,0.49734,0.7132536,0.5263056,0.8824464
2023-01-13,1.246104,1.6965288,2.1003948,2.2187844,1.3667616,1.2086172,0.4566132,0.7528464,0.5668056,0.848556
2023-01-14,1.0893852,1.41993,2.1193164,2.27286,1.1535372,0.8659548,0.410346,0.691416,0.6100272,0.8077644
2023-01-15,1.1180268,1.530576,2.2174236,2.2114944,1.2143196,1.0993644,0.3678372,0.7331796,0.5871204,0.7926012
2023-01-16,1.2875436,1.7079984,2.3011128,2.310768,1.5117516,1.2656412,0.4615704,0.7760772,0.671976,0.8364708
2023-01-17,1.3224708,1.8220788,2.4479496,2.4725088,1.486026,1.251288,0.4888188,0.7577712,0.6930036,0.8021916
2023-01-18,1.3136256,1.7954784,2.6961984,2.8926396,1.4265072,1.2119868,0.4799412,0.7715736,0.660474,0.7467228
2023-01-19,1.4193792,1.8000468,3.1066416,3.739446,1.4455584,1.182438,0.4774788,0.8350776,0.6992244,0.7002612
2023-01-20,1.3864932,1.704726,3.0698676,4.2043536,1.375704,1.074222,0.4415148,0.791694,0.6372432,0.6322212
2023-01-21,1.3996476,1.343304,2.0101932,2.6915328,1.1300148,0.904446,0.3052728,0.7835616,0.4946832,0.4982796
2023-01-22,1.32678,1.7725716,1.498824,1.9144836,1.3132044,1.4575464,0.2868696,1.2968748,0.4944564,0.6681204
2023-01-23,2.1519432,3.3596532,2.734074,3.601908,2.8009476,2.364228,0.5642784,1.6695396,0.8363088,1.62972
2023-01-24,1.97478,3.466152,2.8668168,3.2614164,2.5721388,2.6968464,0.6577848,2.070036,0.8604468,1.5677064
2023-01-25,2.0716884,3.5215236,2.8076544,2.9036232,3.3079752,3.2659848,1.2644424,2.3983776,0.9452052,1.6220412
2023-01-26,2.1596544,4.1307732,3.040092,2.7901584,3.7795896,3.3393708,1.512918,2.8172124,1.0547496,2.0419128
2023-01-27,2.2980672,5.014224,3.8209644,3.2803056,4.4881128,4.0507776,1.918242,3.3590052,1.2101724,2.1642552
2023-01-28,1.7233884,4.2183828,3.1743252,2.6012664,3.7435284,3.2885676,1.6178292,2.6303616,1.0074456,1.8265176
2023-01-29,1.5718212,3.349998,2.7466452,2.3669496,2.9904228,2.7408132,1.3495896,1.9328868,0.9394056,1.6509096
2023-01-30,1.5408144,3.3011064,2.7887652,2.3690232,3.1144176,2.850228,1.2849516,1.6502292,0.9229464,1.4672988
2023-01-31,1.4911128,3.0803976,2.900124,2.4025248,2.8593324,2.53044,1.2691728,1.506924,0.906552,1.2886452
2023-02-01,1.3717512,2.5558416,2.7889596,2.2478472,2.44863,2.0613204,1.1849328,1.2860856,0.8775216,1.12509
2023-02-02,1.3336164,2.362932,2.6419932,2.1984696,2.0841948,1.8908964,1.0467144,1.1120004,0.7335036,0.9470196
2023-02-03,1.3550976,2.3583312,2.6715096,2.4173964,2.0804688,1.8763164,0.9192528,1.0808964,0.6817608,0.8800164
2023-02-04,1.5482664,2.3074308,2.6948376,2.709126,1.9162656,1.67427,0.8342352,1.0528056,0.642006,0.8156376
2023-02-05,1.3311864,1.7532936,2.441664,2.3785164,1.7297388,1.6592364,0.7966512,0.9143928,0.612846,0.709722
2023-02-06,1.7245548,3.0022488,2.7301212,2.5985448,2.6978832,2.2528692,1.0389384,1.4061924,0.831222,1.0857888
2023-02-07,1.4230404,2.7356616,2.824956,2.4919164,2.3272272,2.1820104,1.00278,1.1677284,0.8057556,0.9807156
2023-02-08,1.2899736,2.2437972,2.6113428,2.3607288,1.855386,2.089476,0.702918,0.911898,0.7037928,0.7922124
2023-02-09,1.3315752,2.1495456,2.5873344,2.3226264,1.7780472,1.80792,0.7040196,0.8642052,0.5936328,0.6894396
